"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","21,427.94","21,375.63","21,428.79","21,246.42","354.37M","0.43%"
"05/15/2025","21,335.82","21,206.73","21,443.88","21,168.17","340.58M","0.08%"
"05/14/2025","21,319.21","21,254.47","21,336.48","21,199.85","376.24M","0.57%"
"05/13/2025","21,197.70","20,906.92","21,259.39","20,891.18","408.46M","1.58%"
"05/12/2025","20,868.15","20,818.78","20,870.12","20,613.27","448.68M","4.02%"
"05/09/2025","20,061.45","20,170.37","20,203.58","19,984.53","265.36M","-0.01%"
"05/08/2025","20,063.56","20,067.43","20,249.76","19,907.67","370.42M","0.98%"
"05/07/2025","19,867.97","19,804.50","19,960.86","19,605.07","390.72M","0.39%"
"05/06/2025","19,791.35","19,709.64","19,927.23","19,659.32","303.17M","-0.88%"
"05/05/2025","19,967.94","19,928.82","20,100.61","19,899.28","314.53M","-0.67%"
"05/02/2025","20,102.61","19,986.61","20,176.60","19,936.67","365.36M","1.60%"
"05/01/2025","19,786.71","19,866.83","20,024.48","19,763.14","374.95M","1.10%"
"04/30/2025","19,571.02","19,168.09","19,612.76","19,011.98","432.92M","0.13%"
"04/29/2025","19,544.95","19,315.95","19,582.77","19,304.83","284.64M","0.61%"
"04/28/2025","19,427.29","19,432.72","19,519.33","19,162.46","320.74M","-0.03%"
"04/25/2025","19,432.56","19,209.72","19,447.56","19,133.23","367.42M","1.14%"
"04/24/2025","19,214.40","18,756.53","19,224.80","18,744.47","392.69M","2.79%"
"04/23/2025","18,693.26","18,870.63","19,043.01","18,618.89","419.43M","2.28%"
"04/22/2025","18,276.41","18,033.90","18,396.39","17,993.24","341.99M","2.63%"
"04/21/2025","17,808.30","18,023.01","18,043.08","17,592.92","347.85M","-2.46%"
"04/17/2025","18,258.09","18,369.90","18,401.05","18,144.46","364.51M","0.00%"
"04/16/2025","18,257.64","18,475.76","18,597.32","17,995.96","452.01M","-3.04%"
